Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
D2;Rest of Brain;Right;44;7087500;26.30%
D3;Cerebellum;Right;26;21853125;92.26%
D3;Cortex (Anterior);Right;11;1410938;37.50%
D3;Cortex (Posterior);Right;55;10912500;55.18%
D3;Hippocampus;Right;13;1631250;25.74%
D3;Olfactory Bulb;Right;1;2325000;61.47%
D3;Rest of Brain;Right;0.05;6812500;25.00%
E0;Cerebellum;Right;32;20306250;79.13%
E0;Cortex (Anterior);Right;12;1976563;40.15%
E0;Cortex (Posterior);Right;68;9018750;40.28%
E0;Hippocampus;Right;9;937500;NA
E0;Olfactory Bulb;Right;7;3506250;66.07%
E0;Rest of Brain;Right;58;5906250;29.70%
E1;Cerebellum;Right;32;27075000;73.63%
E1;Cortex (Anterior);Right;12;1230000;41.78%
E1;Cortex (Posterior);Right;75;9290625;56.60%
E1;Hippocampus;Right;12;1554688;53.39%
E1;Olfactory Bulb;Right;1;3834375;60.77%
E1;Rest of Brain;Right;43;5821875;25.70%
F0;Cerebellum;Right;41;24131250;70.89%
F0;Cortex (Anterior);Right;0.01;1125000;37.80%
F0;Cortex (Posterior);Right;0.08;9881250;47.91%
F0;Hippocampus;Right;22;1566406;47.40%
F0;Olfactory Bulb;Right;1;3429687;62.50%
F0;Rest of Brain;Right;67;8062500;48.94%
F1;Cerebellum;Right;27;21000000;85.01%
F1;Cortex (Anterior);Right;8;1187500;41.33%
F1;Cortex (Posterior);Right;77;10246875;51.72%
F1;Hippocampus;Right;12;1281250;41.80%
F1;Olfactory Bulb;Right;3;2600000;59.60%
F1;Rest of Brain;Right;56;8118750;33.01%
G0;Cerebellum;Right;31;26943750;75.31%
G0;Cortex (Anterior);Right;14;1548750;41.51%
G0;Cortex (Posterior);Right;75;7471875;47.42%
G0;Hippocampus;Right;15;633750;51.15%
G0;Olfactory Bulb;Right;1;3000000;51.66%
G0;Rest of Brain;Right;68;9328125;28.28%
G1;Cerebellum;Right;35;22912500;80.00%
G1;Cortex (Anterior);Right;6;716250;48.73%
G1;Cortex (Posterior);Right;0.08;9093750;65.28%
G1;Hippocampus;Right;19;2128125;39.68%
G1;Olfactory Bulb;Right;1;3037500;42.12%
G1;Rest of Brain;Right;76;8550000;25.09%
G2;Cerebellum;Right;38;25818750;77.74%
G2;Cortex (Anterior);Right;11;771484;45.83%
G2;Cortex (Posterior);Right;87;8718750;40.12%
G2;Hippocampus;Right;13;875000;41.43%
G2;Olfactory Bulb;Right;4;3062500;61.68%
G2;Rest of Brain;Right;0.08;7471875;25.75%
H0;Cerebellum;Right;38;22050000;76.10%
H0;Cortex (Posterior);Right;87;8371875;48.23%
H0;Hippocampus;Right;14;1031250;30.73%
H0;Olfactory Bulb;Right;4;3478125;67.44%
H0;Rest of Brain;Right;62;5531250;28.90%
H1;Cerebellum;Right;34;16587750;76.98%
H1;Cortex (Anterior);Right;16;1324219;50.29%
H1;Cortex (Posterior);Right;87;8587500;47.81%
H1;Hippocampus;Right;12;996093;27.49%
H1;Olfactory Bulb;Right;8;4218750;62.00%
H1;Rest of Brain;Right;62;4968750;37.85%
J0;Cerebellum;Whole;72;38150000;88.28%
J0;Cortex (Anterior);Left;11;1312500;39.49%
J0;Cortex (Anterior);Right;13;1368750;37.94%
